id,title,description,availability,condition,price,link,image_link,brand
combo_mixto_911,Combo Mixto 911,"Boneless 150g + Alitas 6pz + Papas + Bebida",in stock,new,239 MXN,,,Snacks 911
boneless_power_911,Boneless Power 911,"Boneless 250g + Papas + Bebida + Salsa",in stock,new,155 MXN,,,Snacks 911
alitas_fuego_911,Alitas Fuego 911,"Alitas 12pz + Papas + Bebida + Salsa",in stock,new,145 MXN,,,Snacks 911
combo_callejero_911,Combo Callejero 911,"Banderilla + Salchipapas + Bebida",in stock,new,175 MXN,,,Snacks 911
combo_banderilla_suprema,Combo Banderilla Suprema,"2 Banderillas + Papas con queso + Bebida",in stock,new,149 MXN,,,Snacks 911
combo_dedos_queso,Combo Dedos de Queso,"Dedos de queso + Papas + Bebida",in stock,new,139 MXN,,,Snacks 911
papas_loaded_911,Papas Loaded 911,"Papas grandes + Queso + Tocino + Jalapeños + Bebida",in stock,new,149 MXN,,,Snacks 911
boneless_250g,Boneless 250g,"Incluye papas chicas y salsa",in stock,new,119 MXN,,,Snacks 911
alitas_6pz,Alitas 6 piezas,"Incluyen papas chicas y salsa",in stock,new,100 MXN,,,Snacks 911
papas_clasicas,Papas clásicas,"Papas fritas con sal y especias",in stock,new,45 MXN,,,Snacks 911
papas_queso,Papas con queso,"Papas con queso cheddar fundido",in stock,new,65 MXN,,,Snacks 911
salchipapas,Salchipapas,"Salchicha + papas + salsas",in stock,new,85 MXN,,,Snacks 911
banderilla_coreana,Banderilla coreana,"Empanizada crujiente estilo coreano",in stock,new,79 MXN,,,Snacks 911
dedos_queso,Dedos de queso,"6 piezas con queso fundido",in stock,new,85 MXN,,,Snacks 911
refresco_400ml,Refresco 400 ml,"Coca-Cola, Sprite, Fanta, Manzanita",in stock,new,30 MXN,,,Snacks 911
salsa_extra,Salsa extra,"BBQ o Mango Habanero",in stock,new,12 MXN,,,Snacks 911
dip_extra,Dip extra,"Parmesano o queso cheddar",in stock,new,15 MXN,,,Snacks 911
